amount,asset_id,atomicity_violation_flag,buyer,cash_amt,cash_ccy,ccy,ccy1,ccy2,coll_lock_amt,coll_lock_dur,exc_count,fee_total,flow,fx_flag,hold_time,holds_count,juris_dst,juris_src,latency,liq_lock_amt,liq_lock_dur,manual_review_flag,msg_quality,n_checkpoints,notional,partyA,partyB,price,qty,queue_time,rate,reason,receiver,repair_due_to_missing_data_flag,retry_count,rework_time,scenario,seed,seller,sender,status,stp_flag,t_fail,t_final,t_init,trace_pack_completeness,trace_pack_handoff_consistency,trace_pack_standardization,trace_pack_world_hint,trace_score,tx_id,urgency,world
2333.080974519834,,False,,,,EUR,,,0.0,0.0,0,1.0,XBPAY,0,0.0,0,J00,J02,2.8388858862795985,0.0,0.0,False,0.8268693142126361,6,,,,,,2.5,,,A003,False,0,0.0,S0,11,,A017,SETTLED,True,,68.68360141498823,65.84471552870863,0.8365035135171485,0.7908098355452093,0.9229664461215041,shared,0.8408036847218269,S0-XBPAY-00000020,1,A
437.8453107179412,,False,,,,USD,,,0.0,0.0,0,1.0,XBPAY,1,0.0,0,J00,J01,15.817395758829107,0.0,0.0,False,0.6647327777088534,6,,,,,,2.5,,,A006,False,0,0.0,S0,11,,A010,SETTLED,True,,69.55746942159419,53.740073662765084,0.5832566605692696,0.6301056850035308,0.7214903726416955,shared,0.6528636547264406,S0-XBPAY-00000016,0,A
1300.4086685640216,,False,,,,USD,,,0.0,0.0,0,1.0,XBPAY,1,0.0,0,J00,J00,5.905351216777824,0.0,0.0,False,0.7817911361502201,6,,,,,,2.5,,,A004,False,0,0.0,S0,11,,A013,SETTLED,True,,69.5755613686655,63.67021015188768,0.923078948939176,0.8715931546291458,0.6853055176573281,shared,0.808711978705218,S0-XBPAY-00000019,0,A
,,False,,,,,USD,EUR,0.0,0.0,0,1.0,PVP,,0.0,0,,,8.796967468017407,0.0,0.0,False,0.8204535559003312,6,2457.2691194625686,A014,A012,,,0.0,0.9346642208658293,,,False,0,0.0,S0,11,,,SETTLED,True,,70.72545784895695,61.92849038093954,0.8491670908957986,0.752799128220217,0.8794738496289362,shared,0.8244694361091228,S0-PVP-00000057,,A
,,False,,,,,USD,EUR,0.0,0.0,0,1.0,PVP,,0.0,0,,,3.247808732638802,0.0,0.0,False,0.8955472543941825,6,2655.5073316248686,A012,A009,,,0.0,0.9925045704428749,,,False,0,0.0,S0,11,,,SETTLED,True,,74.77711801145267,71.52930927881387,0.8411085827063384,0.84968420105796,0.9658895451524122,shared,0.8895553675410153,S0-PVP-00000059,,A
,,False,,,,,USD,EUR,0.0,0.0,0,1.0,PVP,,0.0,0,,,20.786227885877004,0.0,0.0,False,0.689218661001116,6,3564.2989801130807,A011,A000,,,0.0,1.0242227376095845,,,False,0,0.0,S0,11,,,SETTLED,True,,77.97502226201162,57.18879437613462,0.6530406563345375,0.6446012713715304,0.7039225809588782,shared,0.6760003661334356,S0-PVP-00000056,,A
1561.7034448003685,,False,,,,USD,,,0.0,0.0,1,1.0,XBPAY,1,0.0,0,J00,J02,5.851334929237453,0.0,0.0,True,0.8841682038328276,6,,,,,,2.5,,,A003,True,0,3.2518237039491993,S0,11,,A001,SETTLED,False,,78.86524561204168,73.01391068280422,0.8797313410858195,0.7700814200024413,0.9628435750019411,shared,0.8761985487511714,S0-XBPAY-00000021,0,A
,ASSET1,False,A016,281.89694977851616,EUR,,,,0.0,0.0,0,1.0,DVP,1,0.0,0,,,17.505289433965963,0.0,0.0,False,0.7362616425660434,6,,,,101.2627194448136,2.783817690499069,0.0,,,,False,0,0.0,S0,11,A002,,SETTLED,True,,80.29642730091635,62.791137866950386,0.8142688257805447,0.6774143520342206,0.7731714472281224,shared,0.747475582034995,S0-DVP-00000092,,A
,,False,,,,,USD,EUR,0.0,0.0,0,1.0,PVP,,0.0,0,,,13.075631993801196,0.0,0.0,False,0.6608077034671371,6,2268.823031506679,A018,A000,,,0.0,0.9683408000631798,,,False,0,0.0,S0,11,,,SETTLED,True,,83.5778131197368,70.5021811259356,0.6461492124296694,0.5881839271891766,0.6120747108894373,shared,0.6336046514885115,S0-PVP-00000058,,A
1440.445233881532,,False,,,,USD,,,0.0,0.0,0,1.0,XBPAY,1,0.0,0,J01,J02,8.702476640589651,0.0,0.0,False,0.7173290546622987,6,,,,,,2.5,,,A010,False,0,0.0,S0,11,,A009,SETTLED,True,,84.43927468360677,75.73679804301712,0.5981631465884493,0.6810747442254526,0.699775303246073,shared,0.6827342606769145,S0-XBPAY-00000022,0,A
,ASSET1,False,A007,1501.1189747972476,USD,,,,0.0,0.0,0,1.0,DVP,0,0.0,0,,,7.539802200126246,0.0,0.0,False,0.6458650152001093,6,,,,140.52072653447286,10.682544929975078,0.0,,,,False,0,0.0,S0,11,A003,,SETTLED,True,,87.97099951267597,80.43119731254973,0.7010419806269503,0.6754600896245415,0.6947267521022747,shared,0.6725917705507971,S0-DVP-00000093,,A
,,True,,,,,USD,EUR,0.0,0.0,0,1.0,PVP,,0.0,0,,,6.878848148694416,0.0,0.0,True,0.6954747760542164,6,2922.679323384455,A019,A000,,,0.0,0.9869547364561282,LEG2_FAIL_UNWIND,,False,0,2.079806072008097,S0,11,,,FAILED,False,88.01360188912115,,81.13475374042673,0.7333582726432426,0.7066549853166484,0.6887148735501482,shared,0.7039355367236944,S0-PVP-00000060,,A
1265.0409313578662,,False,,,,EUR,,,0.0,0.0,0,1.0,XBPAY,1,0.0,0,J02,J02,5.709264650617229,0.0,0.0,False,0.6179438036987953,6,,,,,,2.5,,,A016,False,0,0.0,S0,11,,A014,SETTLED,True,,94.75006858259053,89.0408039319733,0.6369555704059862,0.5755811827359567,0.5807502212306562,shared,0.605834916354038,S0-XBPAY-00000023,1,A
,ASSET1,False,A002,495.4288220589217,USD,,,,0.0,0.0,0,1.0,DVP,0,0.0,0,,,2.4680439667830996,0.0,0.0,False,0.9621463291400003,6,,,,64.83817689714792,7.641004817961106,0.0,,,,False,0,0.0,S0,11,A016,,SETTLED,True,,98.1561022275082,95.6880582607251,0.9512866901205762,0.9598310734417649,0.945219709170604,shared,0.9561260262025892,S0-DVP-00000095,,A
1135.2654830694728,,False,,,,EUR,,,0.0,0.0,0,1.0,XBPAY,1,0.0,0,J01,J00,7.970028462091463,0.0,0.0,False,0.7772536001724504,6,,,,,,2.5,,,A007,False,0,0.0,S0,11,,A003,SETTLED,True,,99.34372571044673,91.37369724835527,0.7326971207201767,0.8716588293833273,0.7775878111359799,shared,0.7872901923168769,S0-XBPAY-00000024,2,A
,,False,,,,,USD,EUR,0.0,0.0,0,1.0,PVP,,2.4,1,,,2.4000000000000057,0.0,0.0,False,0.617472378843441,6,1391.9724268039192,A007,A014,,,0.0,0.9915392147907507,INSUFFICIENT_LIQ_LEG1,,False,0,0.0,S0,11,,,FAILED,False,99.41101037114224,,97.01101037114223,0.6021293777357467,0.6767448271201225,0.5841963735807875,shared,0.6196030672247078,S0-PVP-00000062,,A
598.1426364298079,,False,,,,USD,,,0.0,0.0,0,1.0,XBPAY,0,0.0,0,J00,J01,5.987677296180777,0.0,0.0,False,0.6656041434938894,6,,,,,,2.5,,,A008,False,0,0.0,S0,11,,A007,SETTLED,True,,104.34534729224562,98.35766999606484,0.6261670138468126,0.6463481582465541,0.6177206225820383,shared,0.6442888163326368,S0-XBPAY-00000026,0,A
,ASSET1,False,A002,482.8401476524372,EUR,,,,0.0,0.0,0,1.0,DVP,0,0.0,0,,,7.009961075704155,0.0,0.0,False,0.8743885172769433,6,,,,52.92173166470765,9.123664938092583,0.0,,,,False,0,0.0,S0,11,A018,,SETTLED,True,,106.63762173211441,99.62766065641026,0.8676120780172519,0.8180760299404939,0.8862846551488659,shared,0.8641499595320996,S0-DVP-00000096,,A
,,False,,,,,USD,EUR,0.0,0.0,0,1.0,PVP,,0.0,0,,,13.01096653591091,0.0,0.0,False,0.7965510684952996,6,1820.9910699782847,A006,A008,,,0.0,1.056564889873195,,,False,0,0.0,S0,11,,,SETTLED,True,,107.42966608596211,94.4186995500512,0.8013441484849265,0.7225443364367921,0.7038692404913371,shared,0.764171972480731,S0-PVP-00000061,,A
1674.3694802695404,,False,,,,EUR,,,0.0,0.0,0,1.0,XBPAY,0,0.0,0,J00,J00,8.31114852784593,0.0,0.0,False,0.9495524442630664,6,,,,,,2.5,,,A006,False,0,0.0,S0,11,,A019,SETTLED,True,,107.73480971874669,99.42366119090076,0.9820468474900349,0.9340912969089035,0.9871458543801371,shared,0.9604777774610418,S0-XBPAY-00000027,2,A
,ASSET1,False,A005,512.7283233407229,USD,,,,0.0,0.0,0,1.0,DVP,0,0.0,0,,,18.570964555513456,0.0,0.0,False,0.6839685905743257,6,,,,93.39495353188111,5.48989323246142,0.0,,,,False,0,0.0,S0,11,A010,,SETTLED,True,,110.41278265316858,91.84181809765512,0.608083945081632,0.613550550029523,0.7448034966714311,shared,0.6668750345862475,S0-DVP-00000094,,A
,ASSET1,False,A001,1007.4986481495816,EUR,,,,0.0,0.0,0,1.0,DVP,0,0.0,0,,,9.659660755330009,0.0,0.0,False,0.719067269252436,6,,,,91.85433215821021,10.968439097834413,0.0,,,,False,0,0.0,S0,11,A009,,SETTLED,True,,113.47264973462326,103.81298897929325,0.7151604314386164,0.7276130127765291,0.7394218879909898,shared,0.7240659741422015,S0-DVP-00000097,,A
,ASSET1,False,A017,891.1509761303713,EUR,,,,0.0,0.0,0,1.0,DVP,0,0.0,0,,,6.368059784056911,0.0,0.0,False,0.8331525381706083,6,,,,91.5788551128491,9.730968737622241,0.0,,,,False,0,0.0,S0,11,A007,,SETTLED,True,,116.93314079670775,110.56508101265084,0.8485509705322852,0.8315426007750362,0.8693668726479563,shared,0.843153104059299,S0-DVP-00000099,,A
47.19770109888236,,False,,,,EUR,,,0.0,0.0,0,1.0,XBPAY,1,0.0,0,J00,J02,21.24416881651517,0.0,0.0,False,0.9363429498757124,6,,,,,,2.5,,,A013,False,0,0.0,S0,11,,A001,SETTLED,True,,117.34183625309596,96.09766743658079,0.8692210190730806,0.9481235287518146,0.9127269727588091,shared,0.9205514840670259,S0-XBPAY-00000025,1,A
